dcterms:identifier, dcterms:isPartOf, dcterms:provenance                              , dcterms:extent, dcterms:type          , dcterms:medium               , dcterms:spatial                                                                      , dcterms:subject                            , original_url                                                                          , dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17572,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Negros Occidental-; ; Cangmanhac                     ,                                            ,                                                                                       , Large market basket of bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , rattan                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17575,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Fiber                        , Asia-Southeast Asia-Philippines-Mindoro Occidental-; Mt. Halcon                ," Baco River; ""                        ", https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17575_1.jpeg     , Mangyan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Carrying basket of dukmoy                                                                                                                                                                                                                                                                                                                                                                                                             , rattan. Used for fruits and Vegetables.                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                  ,                                                                  , 
17576,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Reed; Coconut                , Asia-Southeast Asia-Philippines-Cebu-; ;                                             ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17576_1.jpeg     , One work basket with coconut midrib. Woven reed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , round with greater diameter at opening than base. Knotted bands at rim and articulation of base/walls.                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17577,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Sorsogon-; ;                                         , Filipino                                   , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17577_1.jpeg     , Fish basket of rattan with cordage carrying strap. Original number Coo5772.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17578,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            ,                                                                                       , Shell basket of bamboo and rattan. This basket is woven of very dark organic material. It has a rectangular base and cylindrical body. A series of loops around the opening of the basket form handles and a hinge by which a lid of the same make is attached.                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17579,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines-Nueva Vizcaya-; ; Dupax                              ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17579_1.jpeg     , 1 rice basket of bamboo and rattan. This basket has a rectangular base of rigid material that is tied to the main part of the basket. At the top                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , the basket opening is round and ringed with a piece of bamboo to help hold its shape.                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17580,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Fiber                , Asia-Southeast Asia-Philippines-Leyte-; ; San Miguel                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17580_1.jpeg     , 1 utility basket of banban                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , rattan                                                                                                                                                                                                                                                                                                                                                                                                                                      , eggs                                                                                                                                                                                                                                                                                                                                                                                                          , medicines. Round basket with handle and lid attached by fiber cordage hinge.,                                                                  , 
17582,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Ilocos Norte-; ; Laoag                               ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17582_1.jpeg     , One telescoping traveling basket made of bamboo and rattan. This basket is carried under the arm by a rope strap that also serves to hold together the lid and the base. The overall shape is a rectangular base that woven up into an oblong solid with a rectangular top. The lid is as tall as the base                                                                                                                                                                                                                                                                                                                           , allowing the basket to expand in height as it is filled. The color is natural                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17583,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan                       , Asia-southeast Asia-Philippines-Isabela-; ; Cabagan                                  ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17583_1.jpeg     , Corn measure of rattan. Used for both measuring and handling. Small rounded woven basket.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17584,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Isabela-; ; Cabagan                                  ,                                            ,                                                                                       , Buyo basket-bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , rattan                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17585,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo; Fiber        , Asia-Southeast Asia-Philippines-Isabela-; Luzon; Cabagan                             , Ifugao                                     , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17585_1.jpeg     , One Buyo basket of bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , rattan                                                                                                                                                                                                                                                                                                                                                                                                                                      ," changes shape halfway. Upper section has tight weave (rattan) and lower was looe weave. The rim is made of rattan wrapped bamboo. A cord of braided fiber is attached at two points on opposite sides and hangs in the middle. Tag says: ""Obtained at batangas. It has been used. One is put on each end of a pole and carried on the shoulders.fiber cord was probably used for hanging on pole.",                                                                                  ,                                                                  , 
17586,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Leyte-; ;                                            ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17586_1.jpeg     , One work basket of buri for holding abaca fibers in preparation for weaving.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17587,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines-Bulacan-; ; Bisao                              ," Lepanto""                             ", https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17587_1.jpeg     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Bamboo rice basket for uncooked rice. This basket has a thick rectangular frame at the base                                                                                                                                                                                                                                                                                                                                           , and there is a round frame piece at the mouth of the basket. The basket bulges in the middle and is constricted at the mouth and base. There are four handles formed by separating the frame pieces along the sides allowing a gap. The basket is rather dark and it appears that the fibers have been treated with something to make them darker.                                                      ,                                                                                  ,                                                                  , 
17588,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Bulacan-; ; Balacan                                  ,                                            ,                                                                                       , One sewing basket of bamboo and rattan. Wide mesh hexagonal bottom. Round opening. Open weave. Forms patterns that look like stars of David. Bamboo around rim.                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17589,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Bulacan-; ; Balacan                            ," Philippines""                         ",                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Utility basket of bamboo and rattan. This basket has a rectangular base and round opening on top rimmed with a thick strip of bamboo.                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17590,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines--; ; Manoba                                          ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17590_1.jpeg     , 1 rice basket of bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , rattan and bark. This basket has a rectangular base of rigid material that is tied to the main part of the basket. At the top                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17591,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17591_1.jpeg     , Utility basket of bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , rattan                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17593,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Ilocos Norte-; ; Batac                               , Tinguian                                   , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17593_1.jpeg     , Bamboo rice basket from Tinguian culture. The basket sits on a rectangular base and has a general bowl shape and a wide round opening at top. The majority of the basket is light brown                                                                                                                                                                                                                                                                                                                                                                                                                                              , but a darker brown decoration has been achieved by weaving dark bands horizontally and vertically.                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17594,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Camarines Norte-; ; San Jose                   ," Camarines""                           ", https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17594_1.jpeg     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Hexagonal basket woven with hexagonal pattern and with undulating top.                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17596,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Reed                         , Asia-Southeast Asia-Philippines-Albay-; ; Buro                                 ," Legaspi""                              """, https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17596_1.jpeg     , Bicol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , One cylindrical sewing basket made of caragumoy. The base is roughly square                                                                                                                                                                                                                                                                                                                                                           , forming a cylinder shape. Used by the Bicol.                                                                                                                                                                                                                                                                                                                                                            ,                                                                                  ,                                                                  , 
17597,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines-Ilocos Sur-; ; Namitpit                        ," Lepanto""                             ", https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17597_1.jpeg     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Rice basket of bamboo for uncooked rice.                                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17598,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Fiber; Rattan                , Asia-Southeast Asia-Philippines-Mindoro Oriental-; ; Pinamalayan               ," Mindoro""                             ", https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17598_1.jpeg     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 1 Abaca contained of nipa and rattan. Used to hold abaca fibers. Open-weave basket with hexagonal base and round top.                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17602,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines-Quezon-; ; Lucban                                    , Tagalog                                    , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17602_1.jpeg     , Market basket of rattan. The basket is round with a slightly conical bottom and a very wide opening ringed with rigid bamboo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17604,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Ilocos Norte-; ; Laoag                               ,                                            ,                                                                                       , One pack holder of rattan. Shaped like a purse. Main body has rattan woven in fancy interlocked knots. Handle made of rattan braid. Round bottom with star inside.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17605,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Agusan del Norte-; ; Amparo Settlement               , Manobo                                     ,                                                                                       , Utility basket of rattan and bamboo. Woven rattan basket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , round opening                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17612,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17612_1.jpeg     , Small covered (no cover present) basket of rattan and bamboo. Used for flowers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17613,1387, Accession #1387 Donation 04/29/1941 (1387)      , 1 ea          , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17613_1.jpeg     , 1 square open weave basket of bamboo with small circular opening on top. A fish trap (?)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
17709,1587, Accession #1587 Donation 10/03/1944 (1587)      , 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/17709_1.jpeg     , One rattan tray. The overall shape is round and shallow                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , with the base woven in a herringbone pattern. At the rim                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
23835,1475, Accession #1475 Donation 04/18/1942 (1475)      , 1 ea          , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines--; ; Central Luzon                                   ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/23835_1.jpeg     , Large round basket with unfinished top. Frame pieces extend approximately 7 cm above woven portion. Filled with spools of cotton thread and wool yarn.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
26644,3281, Accession #3281 UMMAA Expedition (3281)         , 1 ea          , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/26644_1.jpeg     , Small round basket of woven fiber. Has rounded bottom and thus does not stand.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
37326,2175, Accession #2175 Donation 1955 (2175)            , 1 ea          , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            ,                                                                                       , bask or hat of twilled basketry. Round. No bottom. Open at both ends. One opening is narrow while other is wide.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
37327,2175, Accession #2175 Donation 1955 (2175)            , 1 ea          , Basket                , Grass                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/37327_1.jpeg     , One grass basket from the Philippines. The bas of the basket is flat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , and the sides angle out to form a truncated cone shape. Made of coils of grass sewn together with two-ply thread                                                                                                                                                                                                                                                                                                                            , interspersed with horizontal rings of green and red from the center of the base to the top. At the very center of the base is a hole approximately 1.5cm in diameter.                                                                                                                                                                                                                                   ,                                                                                  ,                                                                  , 
47287,2558, Accession #2558 Donation 09/21/1959 (2558)      , 1 ea          , Basket making material, Bamboo                       , Asia-Southeast Asia-Philippines-Bulacan-; Central Luzon; Pulilan                     ,                                            , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/47287_1.jpeg     , 1 bamboo ring. One tan strip of bamboo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , bent into a circle and with the edges knotted together.                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
92138,3461, Accession #3461 UMMAA Expedition 10/1979 (3461) , 1 ea          , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--; ;                                                 ,                                            ,                                                                                       ," 1 man's travel basket. Called ""nead basketmade with water proof lejuco covering. Basket has a rectangular base made of a wide rigid strip of organic material. Body of the basket is made of basketry in a tightly woven zigzag pattern. A flap comes over the top of the basket opening to cover it and is attached to two straps of similar woven basketry. Another flap is attached to the cover flap and this outer flap is made of woven basketry covered with a shaggy plant material reminiscent of porcupine quills or grass. This shaggy material covers one entire side of the basket as well as the closure flap.",                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                  ,                                                                  , 
92297,3581, Accession #3581 Donation 07/10/1984 (3581)      , 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Mindoro Oriental-; Mt. Halcon; Santa Rosa or Dulangan, Mangyan                                    , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/92297_1.jpeg     , Fine-weave rattan basket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , barrel-shaped. The base consists of a 25X25cm lattice of looser weave                                                                                                                                                                                                                                                                                                                                                                       , bottom is square.                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                  ,                                                                  , 
92298,3581, Accession #3581 Donation 07/10/1984 (3581)      , 1 ea          , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Mindoro Oriental-; Mt. Halcon; Santa Rosa or Dulangan, Mangyan                                    , https://kstocks.si676.si.umich.edu/omeka-kyle/files/original/Baskets/92298_1.jpeg     , Fine-weave rattan basket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , conical in shape. The base is a 20X20cm square of looser weave. Two strips of rattan cross it diagonally from corner to corner                                                                                                                                                                                                                                                                                                              , reinforcing the sides of the basket. A strap                                                                                                                                                                                                                                                                                                                                                                  , consisting of a thin strip about 60 cm long                                      , is attached to the rim next to two adjacent vertical strips., 
